ai_detection,collaboration_rating,attention_check,play_again,strategy,cat_question,purpose,comments,file_id,newGoalConditionType,rlAgentType,distanceCondition
Probably an AI,Very good collaborator,Definitely blue,Not sure,"not really, just tried to get to the easiest restaurant",True,not sure,Thanks!,experiment_data_62faba5f904642df812944fa_2025-08-27T18-46-10-996Z.xlsx,equal_to_player1,joint,no_new_goal
Definitely an AI,Very good collaborator,Definitely blue,Definitely play again,"Just try to get the restaurant in the least possible steps, when playing with the other player headed in general direction that they were going in and waited until they entered restaurant first.",True,Playing with AI partners and how human players react?,Nope,experiment_data_66854ca22a0b1e7e87b469a4_2025-08-25T19-50-50-609Z.xlsx,closer_to_player1,individual,no_new_goal
Probably an AI,Poor collaborator,Definitely blue,Probably play again,I waited for the other player to make a definitive move towards a restaurant and then copied,True,To see if people would follow the lead of an AI generated player,,experiment_data_651ac208f45cf1745c586ffc_2025-08-27T16-01-09-988Z.xlsx,equal_to_player1,individual,no_new_goal
Not sure,Very good collaborator,Definitely blue,Definitely play again,"I wited for the other player to make their first move, then I followed the player around.",True,To explore the science behind human collaboration,,experiment_data_66cb2e0bd2169db778550269_2025-08-25T19-53-30-720Z.xlsx,closer_to_player1,individual,closer_to_player1
Probably a person,Very good collaborator,Definitely blue,Definitely play again,no,True,for relaxation,none,experiment_data_6777a384c84a19ccaee79888_2025-08-27T16-25-00-901Z.xlsx,closer_to_player1,joint,no_new_goal
Probably an AI,Very good collaborator,Definitely blue,Definitely play again,I briefly delayed to see where the other player was going.,True,To judge on decisions and reaction time.,I would like to take more in the future. I had a lot of fun!,experiment_data_661770012a3c83b4bdaff645_2025-08-27T15-52-49-165Z.xlsx,closer_to_player1,joint,closer_to_player1
Probably an AI,Neutral,Definitely blue,Not sure,I mirrored the movements of the other player and tried to get to the chosen restaurant as efficiently was I could.,True,Unsure - there wasn't much of an emphasis on initiative.,Thanks!,experiment_data_5c1199258b095d00015cf0ec_2025-08-27T16-30-32-472Z.xlsx,closer_to_player1,individual,no_new_goal
Not sure,Poor collaborator,Definitely blue,Not sure,I tried to defer to what my partner seemed to be doing and follow their lead,True,No idea,Nope,experiment_data_558c2205fdf99b5d984bbb15_2025-08-27T16-32-57-193Z.xlsx,farther_to_player1,individual,no_new_goal
Probably an AI,Very good collaborator,Definitely blue,Not sure,Just to be the most efficient I could be in terms of getting to the restaurant the quickest.,True,to see how human and AI collaberate,,experiment_data_60ddc62b071a009e0b0c2922_2025-08-27T16-35-39-743Z.xlsx,closer_to_player1,joint,closer_to_player1
Probably an AI,Good collaborator,Not sure,Probably play again,I just followed the other player,True,to see how people perform in a game setting,no,experiment_data_611830fe665c7b68723910b3_2025-08-27T16-22-06-368Z.xlsx,farther_to_player1,joint,no_new_goal
